Number,model_a,model_b,result
6378,alpaca-13b,gpt-3.5-turbo,l
6379,llama-13b,alpaca-13b,l
6380,oasst-pythia-12b,stablelm-tuned-alpha-7b,l
6381,vicuna-13b,koala-13b,l
6382,koala-13b,claude-v1,l
6383,claude-v1,vicuna-13b,l
6384,vicuna-13b,koala-13b,l
6385,chatglm-6b,RWKV-4-Raven-14B,l
6386,koala-13b,alpaca-13b,l
6387,gpt-3.5-turbo,gpt-4,l
6388,koala-13b,llama-13b,l
6389,RWKV-4-Raven-14B,llama-13b,l
6390,oasst-pythia-12b,vicuna-13b,l
6391,vicuna-13b,alpaca-13b,l
6392,gpt-3.5-turbo,vicuna-13b,l
6393,fastchat-t5-3b,dolly-v2-12b,l
6394,gpt-3.5-turbo,oasst-pythia-12b,l
6395,stablelm-tuned-alpha-7b,koala-13b,l
6396,vicuna-13b,RWKV-4-Raven-14B,l
6397,fastchat-t5-3b,chatglm-6b,l
6398,RWKV-4-Raven-14B,koala-13b,l
6399,alpaca-13b,gpt-3.5-turbo,l
6400,vicuna-13b,RWKV-4-Raven-14B,l
6401,koala-13b,llama-13b,l
6402,llama-13b,gpt-3.5-turbo,l
6403,vicuna-13b,chatglm-6b,l
6404,gpt-3.5-turbo,koala-13b,l
6405,vicuna-13b,claude-v1,l
6406,oasst-pythia-12b,vicuna-13b,l
6407,koala-13b,dolly-v2-12b,l
6408,stablelm-tuned-alpha-7b,RWKV-4-Raven-14B,l
6409,vicuna-13b,claude-v1,l
6410,alpaca-13b,fastchat-t5-3b,l
6411,alpaca-13b,vicuna-13b,l
6412,RWKV-4-Raven-14B,llama-13b,l
6413,gpt-4,oasst-pythia-12b,l
6414,fastchat-t5-3b,chatglm-6b,l
6415,gpt-4,vicuna-13b,l
6416,gpt-4,RWKV-4-Raven-14B,l
6417,gpt-4,fastchat-t5-3b,l
6418,llama-13b,vicuna-13b,l
6419,gpt-4,RWKV-4-Raven-14B,l
6420,claude-v1,chatglm-6b,l
6421,koala-13b,dolly-v2-12b,l
6422,gpt-3.5-turbo,fastchat-t5-3b,l
6423,oasst-pythia-12b,vicuna-13b,l
6424,gpt-3.5-turbo,koala-13b,l
6425,dolly-v2-12b,gpt-4,l
6426,gpt-4,vicuna-13b,l
6427,alpaca-13b,llama-13b,l
6428,alpaca-13b,vicuna-13b,l
6429,koala-13b,dolly-v2-12b,l
6430,fastchat-t5-3b,llama-13b,l
6431,gpt-3.5-turbo,chatglm-6b,l
6432,oasst-pythia-12b,RWKV-4-Raven-14B,l
6433,gpt-4,alpaca-13b,l
6434,gpt-4,oasst-pythia-12b,l
6435,dolly-v2-12b,claude-v1,l
6436,gpt-3.5-turbo,fastchat-t5-3b,l
6437,stablelm-tuned-alpha-7b,llama-13b,l
6438,gpt-4,claude-v1,l
6439,alpaca-13b,claude-v1,l
6440,oasst-pythia-12b,stablelm-tuned-alpha-7b,l
6441,stablelm-tuned-alpha-7b,fastchat-t5-3b,l
6442,claude-v1,RWKV-4-Raven-14B,l
6443,fastchat-t5-3b,stablelm-tuned-alpha-7b,l
6444,gpt-3.5-turbo,oasst-pythia-12b,l
6445,RWKV-4-Raven-14B,claude-v1,l
6446,koala-13b,gpt-3.5-turbo,l
6447,chatglm-6b,RWKV-4-Raven-14B,l
6448,alpaca-13b,gpt-4,l
6449,gpt-3.5-turbo,alpaca-13b,l
6450,oasst-pythia-12b,stablelm-tuned-alpha-7b,l
6451,gpt-4,gpt-3.5-turbo,l
6452,RWKV-4-Raven-14B,vicuna-13b,l
6453,koala-13b,stablelm-tuned-alpha-7b,l
6454,fastchat-t5-3b,koala-13b,l
6455,alpaca-13b,claude-v1,l
6456,stablelm-tuned-alpha-7b,koala-13b,l
6457,claude-v1,gpt-4,l
6458,oasst-pythia-12b,claude-v1,l
6459,gpt-4,RWKV-4-Raven-14B,l
6460,llama-13b,oasst-pythia-12b,l
6461,alpaca-13b,oasst-pythia-12b,l
6462,fastchat-t5-3b,alpaca-13b,l
6463,claude-v1,gpt-3.5-turbo,l
6464,claude-v1,alpaca-13b,l
6465,alpaca-13b,gpt-4,l
6466,chatglm-6b,koala-13b,l
6467,dolly-v2-12b,RWKV-4-Raven-14B,l
6468,alpaca-13b,llama-13b,l
6469,vicuna-13b,oasst-pythia-12b,l
6470,gpt-4,stablelm-tuned-alpha-7b,l
6471,gpt-3.5-turbo,vicuna-13b,l
6472,llama-13b,alpaca-13b,l
6473,stablelm-tuned-alpha-7b,fastchat-t5-3b,l
6474,llama-13b,fastchat-t5-3b,l
6475,alpaca-13b,stablelm-tuned-alpha-7b,l
6476,alpaca-13b,koala-13b,l
6477,gpt-4,vicuna-13b,l
6478,koala-13b,claude-v1,l
6479,koala-13b,gpt-3.5-turbo,l
6480,claude-v1,koala-13b,l
6481,claude-v1,oasst-pythia-12b,l
6482,stablelm-tuned-alpha-7b,claude-v1,l
6483,alpaca-13b,dolly-v2-12b,l
6484,koala-13b,claude-v1,l
6485,chatglm-6b,alpaca-13b,l
6486,stablelm-tuned-alpha-7b,dolly-v2-12b,l
6487,gpt-3.5-turbo,claude-v1,l
6488,gpt-3.5-turbo,claude-v1,l
6489,oasst-pythia-12b,gpt-4,l
6490,alpaca-13b,chatglm-6b,l
6491,alpaca-13b,stablelm-tuned-alpha-7b,l
6492,gpt-4,alpaca-13b,l
6493,alpaca-13b,vicuna-13b,l
6494,gpt-4,claude-v1,l
6495,claude-v1,gpt-4,l
6496,koala-13b,gpt-4,l
6497,dolly-v2-12b,vicuna-13b,l
6498,llama-13b,gpt-3.5-turbo,l
6499,koala-13b,gpt-4,l
6500,fastchat-t5-3b,llama-13b,l
6501,fastchat-t5-3b,dolly-v2-12b,l
6502,RWKV-4-Raven-14B,koala-13b,l
6503,vicuna-13b,RWKV-4-Raven-14B,l
6504,oasst-pythia-12b,dolly-v2-12b,l
6505,vicuna-13b,RWKV-4-Raven-14B,l
6506,stablelm-tuned-alpha-7b,alpaca-13b,l
6507,RWKV-4-Raven-14B,vicuna-13b,l
6508,RWKV-4-Raven-14B,gpt-3.5-turbo,l
6509,oasst-pythia-12b,chatglm-6b,l
6510,koala-13b,dolly-v2-12b,l
6511,alpaca-13b,koala-13b,l
6512,koala-13b,vicuna-13b,l
6513,alpaca-13b,dolly-v2-12b,l
6514,gpt-3.5-turbo,oasst-pythia-12b,l
6515,claude-v1,vicuna-13b,l
6516,gpt-4,gpt-3.5-turbo,l
6517,gpt-3.5-turbo,fastchat-t5-3b,l
6518,koala-13b,dolly-v2-12b,l
6519,dolly-v2-12b,gpt-4,l
6520,vicuna-13b,oasst-pythia-12b,l
6521,alpaca-13b,dolly-v2-12b,l
6522,claude-v1,gpt-3.5-turbo,l
6523,koala-13b,oasst-pythia-12b,l
6524,oasst-pythia-12b,vicuna-13b,l
6525,fastchat-t5-3b,oasst-pythia-12b,l
6526,gpt-3.5-turbo,koala-13b,l
6527,vicuna-13b,fastchat-t5-3b,l
6528,oasst-pythia-12b,koala-13b,l
6529,oasst-pythia-12b,koala-13b,l
6530,dolly-v2-12b,llama-13b,l
6531,gpt-3.5-turbo,llama-13b,l
6532,RWKV-4-Raven-14B,oasst-pythia-12b,l
6533,stablelm-tuned-alpha-7b,RWKV-4-Raven-14B,l
6534,stablelm-tuned-alpha-7b,oasst-pythia-12b,l
6535,fastchat-t5-3b,vicuna-13b,l
6536,RWKV-4-Raven-14B,vicuna-13b,l
6537,llama-13b,stablelm-tuned-alpha-7b,l
6538,alpaca-13b,gpt-3.5-turbo,l
6539,gpt-4,llama-13b,l
6540,koala-13b,vicuna-13b,l
6541,alpaca-13b,fastchat-t5-3b,l
6542,fastchat-t5-3b,claude-v1,l
6543,fastchat-t5-3b,chatglm-6b,l
6544,oasst-pythia-12b,gpt-4,l
6545,chatglm-6b,oasst-pythia-12b,l
6546,alpaca-13b,vicuna-13b,l
6547,vicuna-13b,koala-13b,l
6548,gpt-3.5-turbo,oasst-pythia-12b,l
6549,vicuna-13b,RWKV-4-Raven-14B,l
6550,vicuna-13b,claude-v1,l
6551,RWKV-4-Raven-14B,alpaca-13b,l
6552,koala-13b,fastchat-t5-3b,l
6553,gpt-3.5-turbo,fastchat-t5-3b,l
6554,gpt-3.5-turbo,oasst-pythia-12b,l
6555,claude-v1,koala-13b,l
6556,RWKV-4-Raven-14B,claude-v1,l
6557,gpt-4,vicuna-13b,l
6558,dolly-v2-12b,oasst-pythia-12b,l
6559,vicuna-13b,chatglm-6b,l
6560,RWKV-4-Raven-14B,koala-13b,l
6561,oasst-pythia-12b,koala-13b,l
6562,stablelm-tuned-alpha-7b,claude-v1,l
6563,gpt-4,stablelm-tuned-alpha-7b,l
6564,alpaca-13b,stablelm-tuned-alpha-7b,l
6565,dolly-v2-12b,oasst-pythia-12b,l
6566,koala-13b,claude-v1,l
6567,chatglm-6b,alpaca-13b,l
6568,alpaca-13b,oasst-pythia-12b,l
6569,alpaca-13b,claude-v1,l
6570,claude-v1,vicuna-13b,l
6571,fastchat-t5-3b,oasst-pythia-12b,l
6572,alpaca-13b,gpt-3.5-turbo,l
6573,stablelm-tuned-alpha-7b,gpt-4,l
6574,gpt-3.5-turbo,claude-v1,l
6575,RWKV-4-Raven-14B,fastchat-t5-3b,l
6576,dolly-v2-12b,RWKV-4-Raven-14B,l
6577,llama-13b,gpt-4,l
6578,stablelm-tuned-alpha-7b,claude-v1,l
6579,chatglm-6b,alpaca-13b,l
6580,gpt-4,oasst-pythia-12b,l
6581,oasst-pythia-12b,koala-13b,l
6582,gpt-4,fastchat-t5-3b,l
6583,claude-v1,llama-13b,l
6584,dolly-v2-12b,stablelm-tuned-alpha-7b,l
6585,vicuna-13b,RWKV-4-Raven-14B,l
6586,gpt-4,llama-13b,l
6587,koala-13b,fastchat-t5-3b,l
6588,oasst-pythia-12b,llama-13b,l
6589,claude-v1,vicuna-13b,l
6590,gpt-4,vicuna-13b,l
6591,gpt-3.5-turbo,gpt-4,l
6592,oasst-pythia-12b,alpaca-13b,l
6593,oasst-pythia-12b,gpt-3.5-turbo,l
6594,oasst-pythia-12b,gpt-3.5-turbo,l
6595,gpt-4,stablelm-tuned-alpha-7b,l
6596,vicuna-13b,oasst-pythia-12b,l
6597,alpaca-13b,stablelm-tuned-alpha-7b,l
6598,oasst-pythia-12b,alpaca-13b,l
6599,RWKV-4-Raven-14B,gpt-4,l
6600,RWKV-4-Raven-14B,gpt-4,l
6601,oasst-pythia-12b,llama-13b,l
6602,vicuna-13b,stablelm-tuned-alpha-7b,l
6603,RWKV-4-Raven-14B,chatglm-6b,l
6604,stablelm-tuned-alpha-7b,gpt-3.5-turbo,l
6605,oasst-pythia-12b,fastchat-t5-3b,l
6606,gpt-4,chatglm-6b,l
6607,alpaca-13b,RWKV-4-Raven-14B,l
6608,koala-13b,claude-v1,l
6609,alpaca-13b,gpt-4,l
6610,alpaca-13b,oasst-pythia-12b,l
6611,fastchat-t5-3b,gpt-3.5-turbo,l
6612,RWKV-4-Raven-14B,fastchat-t5-3b,l
6613,gpt-3.5-turbo,vicuna-13b,l
6614,gpt-3.5-turbo,vicuna-13b,l
6615,stablelm-tuned-alpha-7b,gpt-3.5-turbo,l
6616,oasst-pythia-12b,alpaca-13b,l
6617,gpt-4,koala-13b,l
6618,oasst-pythia-12b,dolly-v2-12b,l
6619,koala-13b,fastchat-t5-3b,l
6620,stablelm-tuned-alpha-7b,alpaca-13b,l
6621,llama-13b,stablelm-tuned-alpha-7b,l
6622,koala-13b,gpt-4,l
6623,fastchat-t5-3b,RWKV-4-Raven-14B,l
6624,stablelm-tuned-alpha-7b,koala-13b,l
6625,gpt-3.5-turbo,llama-13b,l
6626,llama-13b,gpt-3.5-turbo,l
6627,vicuna-13b,RWKV-4-Raven-14B,l
6628,gpt-3.5-turbo,vicuna-13b,l
6629,RWKV-4-Raven-14B,alpaca-13b,l
6630,RWKV-4-Raven-14B,koala-13b,l
6631,chatglm-6b,oasst-pythia-12b,l
6632,gpt-4,fastchat-t5-3b,l
6633,RWKV-4-Raven-14B,stablelm-tuned-alpha-7b,l
6634,gpt-4,llama-13b,l
6635,RWKV-4-Raven-14B,gpt-3.5-turbo,l
6636,gpt-4,claude-v1,l
6637,gpt-4,koala-13b,l
6638,RWKV-4-Raven-14B,stablelm-tuned-alpha-7b,l
6639,vicuna-13b,gpt-3.5-turbo,l
6640,gpt-4,llama-13b,l
6641,gpt-3.5-turbo,vicuna-13b,l
6642,dolly-v2-12b,vicuna-13b,l
6643,claude-v1,alpaca-13b,l
6644,alpaca-13b,oasst-pythia-12b,l
6645,chatglm-6b,dolly-v2-12b,l
6646,vicuna-13b,gpt-3.5-turbo,l
6647,chatglm-6b,gpt-4,l
6648,oasst-pythia-12b,llama-13b,l
6649,gpt-4,alpaca-13b,l
6650,gpt-4,chatglm-6b,l
6651,fastchat-t5-3b,oasst-pythia-12b,l
6652,stablelm-tuned-alpha-7b,alpaca-13b,l
6653,gpt-4,gpt-3.5-turbo,l
6654,dolly-v2-12b,alpaca-13b,l
6655,chatglm-6b,alpaca-13b,l
6656,koala-13b,RWKV-4-Raven-14B,l
6657,gpt-4,RWKV-4-Raven-14B,l
6658,alpaca-13b,RWKV-4-Raven-14B,l
6659,gpt-4,fastchat-t5-3b,l
6660,RWKV-4-Raven-14B,gpt-4,l
6661,gpt-3.5-turbo,oasst-pythia-12b,l
6662,stablelm-tuned-alpha-7b,gpt-3.5-turbo,l
6663,gpt-3.5-turbo,dolly-v2-12b,l
6664,claude-v1,oasst-pythia-12b,l
6665,oasst-pythia-12b,chatglm-6b,l
6666,llama-13b,koala-13b,l
6667,claude-v1,stablelm-tuned-alpha-7b,l
6668,claude-v1,stablelm-tuned-alpha-7b,l
6669,fastchat-t5-3b,chatglm-6b,l
6670,gpt-4,alpaca-13b,l
6671,RWKV-4-Raven-14B,koala-13b,l
6672,gpt-4,stablelm-tuned-alpha-7b,l
6673,gpt-3.5-turbo,vicuna-13b,l
6674,oasst-pythia-12b,stablelm-tuned-alpha-7b,l
6675,claude-v1,fastchat-t5-3b,l
6676,gpt-4,RWKV-4-Raven-14B,l
6677,llama-13b,fastchat-t5-3b,l
6678,dolly-v2-12b,gpt-4,l
6679,stablelm-tuned-alpha-7b,oasst-pythia-12b,l
6680,llama-13b,dolly-v2-12b,l
6681,claude-v1,alpaca-13b,l
6682,alpaca-13b,llama-13b,l
6683,gpt-4,llama-13b,l
6684,chatglm-6b,gpt-4,l
6685,RWKV-4-Raven-14B,gpt-4,l
6686,gpt-4,llama-13b,l
6687,stablelm-tuned-alpha-7b,RWKV-4-Raven-14B,l
6688,fastchat-t5-3b,alpaca-13b,l
6689,alpaca-13b,gpt-4,l
6690,gpt-3.5-turbo,gpt-4,l
6691,oasst-pythia-12b,gpt-3.5-turbo,l
6692,vicuna-13b,oasst-pythia-12b,l
6693,fastchat-t5-3b,alpaca-13b,l
6694,vicuna-13b,stablelm-tuned-alpha-7b,l
6695,claude-v1,RWKV-4-Raven-14B,l
6696,vicuna-13b,llama-13b,l
6697,gpt-3.5-turbo,alpaca-13b,l
6698,RWKV-4-Raven-14B,gpt-4,l
6699,RWKV-4-Raven-14B,fastchat-t5-3b,l
6700,dolly-v2-12b,gpt-3.5-turbo,l
6701,gpt-3.5-turbo,chatglm-6b,l
6702,alpaca-13b,RWKV-4-Raven-14B,l
6703,RWKV-4-Raven-14B,fastchat-t5-3b,l
6704,dolly-v2-12b,vicuna-13b,l
6705,stablelm-tuned-alpha-7b,oasst-pythia-12b,l
6706,gpt-3.5-turbo,claude-v1,l
6707,dolly-v2-12b,RWKV-4-Raven-14B,l
6708,stablelm-tuned-alpha-7b,vicuna-13b,l
6709,RWKV-4-Raven-14B,koala-13b,l
6710,koala-13b,gpt-4,l
6711,alpaca-13b,gpt-4,l
6712,RWKV-4-Raven-14B,vicuna-13b,l
6713,gpt-3.5-turbo,chatglm-6b,l
6714,gpt-4,llama-13b,l
6715,vicuna-13b,dolly-v2-12b,l
6716,oasst-pythia-12b,gpt-3.5-turbo,l
6717,gpt-4,RWKV-4-Raven-14B,l
6718,gpt-4,gpt-3.5-turbo,l
6719,vicuna-13b,RWKV-4-Raven-14B,l
6720,claude-v1,oasst-pythia-12b,l
6721,llama-13b,dolly-v2-12b,l
6722,dolly-v2-12b,chatglm-6b,l
6723,RWKV-4-Raven-14B,claude-v1,l
6724,RWKV-4-Raven-14B,stablelm-tuned-alpha-7b,l
6725,gpt-3.5-turbo,koala-13b,l
6726,oasst-pythia-12b,gpt-3.5-turbo,l
6727,stablelm-tuned-alpha-7b,koala-13b,l
6728,gpt-4,RWKV-4-Raven-14B,l
6729,llama-13b,koala-13b,l
6730,koala-13b,claude-v1,l
6731,stablelm-tuned-alpha-7b,fastchat-t5-3b,l
6732,gpt-3.5-turbo,claude-v1,l
6733,koala-13b,alpaca-13b,l
6734,chatglm-6b,RWKV-4-Raven-14B,l
6735,chatglm-6b,oasst-pythia-12b,l
6736,claude-v1,llama-13b,l
6737,gpt-4,RWKV-4-Raven-14B,l
6738,claude-v1,alpaca-13b,l
6739,fastchat-t5-3b,RWKV-4-Raven-14B,l
6740,fastchat-t5-3b,gpt-3.5-turbo,l
6741,vicuna-13b,gpt-4,l
6742,llama-13b,fastchat-t5-3b,l
6743,dolly-v2-12b,koala-13b,l
6744,alpaca-13b,RWKV-4-Raven-14B,l
6745,RWKV-4-Raven-14B,oasst-pythia-12b,l
6746,llama-13b,oasst-pythia-12b,l
6747,dolly-v2-12b,stablelm-tuned-alpha-7b,l
6748,RWKV-4-Raven-14B,stablelm-tuned-alpha-7b,l
6749,koala-13b,gpt-3.5-turbo,l
6750,vicuna-13b,koala-13b,l
6751,gpt-3.5-turbo,vicuna-13b,l
6752,gpt-3.5-turbo,gpt-4,l
6753,koala-13b,dolly-v2-12b,l
6754,koala-13b,gpt-4,l
6755,claude-v1,vicuna-13b,l
6756,claude-v1,alpaca-13b,l
6757,vicuna-13b,koala-13b,l
6758,oasst-pythia-12b,RWKV-4-Raven-14B,l
6759,gpt-4,vicuna-13b,l
6760,RWKV-4-Raven-14B,alpaca-13b,l
6761,dolly-v2-12b,llama-13b,l
6762,oasst-pythia-12b,gpt-4,l
6763,llama-13b,alpaca-13b,l
6764,oasst-pythia-12b,vicuna-13b,l
6765,alpaca-13b,RWKV-4-Raven-14B,l
6766,gpt-4,RWKV-4-Raven-14B,l
6767,claude-v1,vicuna-13b,l
6768,oasst-pythia-12b,claude-v1,l
6769,gpt-3.5-turbo,claude-v1,l
6770,gpt-4,oasst-pythia-12b,l
6771,oasst-pythia-12b,fastchat-t5-3b,l
6772,alpaca-13b,RWKV-4-Raven-14B,l
6773,alpaca-13b,fastchat-t5-3b,l
6774,llama-13b,claude-v1,l
6775,alpaca-13b,koala-13b,l
6776,alpaca-13b,RWKV-4-Raven-14B,l
6777,chatglm-6b,gpt-3.5-turbo,l
6778,claude-v1,gpt-4,l
6779,fastchat-t5-3b,llama-13b,l
6780,fastchat-t5-3b,alpaca-13b,l
6781,llama-13b,stablelm-tuned-alpha-7b,l
6782,chatglm-6b,claude-v1,l
6783,koala-13b,alpaca-13b,l
6784,RWKV-4-Raven-14B,gpt-3.5-turbo,l
6785,gpt-3.5-turbo,RWKV-4-Raven-14B,l
6786,claude-v1,koala-13b,l
6787,claude-v1,gpt-4,l
6788,gpt-4,RWKV-4-Raven-14B,l
6789,RWKV-4-Raven-14B,fastchat-t5-3b,l
6790,oasst-pythia-12b,claude-v1,l
6791,alpaca-13b,claude-v1,l
6792,vicuna-13b,fastchat-t5-3b,l
6793,gpt-4,gpt-3.5-turbo,l
6794,stablelm-tuned-alpha-7b,fastchat-t5-3b,l
6795,dolly-v2-12b,gpt-4,l
6796,gpt-4,chatglm-6b,l
6797,gpt-3.5-turbo,claude-v1,l
6798,claude-v1,gpt-4,l
6799,dolly-v2-12b,koala-13b,l
6800,llama-13b,oasst-pythia-12b,l
6801,oasst-pythia-12b,fastchat-t5-3b,l
6802,oasst-pythia-12b,RWKV-4-Raven-14B,l
6803,chatglm-6b,llama-13b,l
6804,gpt-4,chatglm-6b,l
6805,llama-13b,gpt-4,l
6806,gpt-3.5-turbo,oasst-pythia-12b,l
6807,gpt-4,fastchat-t5-3b,l
6808,fastchat-t5-3b,chatglm-6b,l
6809,koala-13b,alpaca-13b,l
6810,stablelm-tuned-alpha-7b,fastchat-t5-3b,l
6811,alpaca-13b,koala-13b,l
6812,gpt-3.5-turbo,vicuna-13b,l
6813,gpt-4,gpt-3.5-turbo,l
6814,gpt-3.5-turbo,koala-13b,l
6815,stablelm-tuned-alpha-7b,chatglm-6b,l
6816,llama-13b,stablelm-tuned-alpha-7b,l
6817,claude-v1,gpt-3.5-turbo,l
6818,claude-v1,RWKV-4-Raven-14B,l
6819,vicuna-13b,koala-13b,l
6820,claude-v1,oasst-pythia-12b,l
6821,alpaca-13b,claude-v1,l
6822,gpt-4,fastchat-t5-3b,l
6823,llama-13b,alpaca-13b,l
6824,koala-13b,llama-13b,l
6825,RWKV-4-Raven-14B,claude-v1,l
6826,gpt-3.5-turbo,stablelm-tuned-alpha-7b,l
6827,gpt-3.5-turbo,fastchat-t5-3b,l
6828,gpt-3.5-turbo,stablelm-tuned-alpha-7b,l
6829,gpt-4,oasst-pythia-12b,l
6830,RWKV-4-Raven-14B,stablelm-tuned-alpha-7b,l
6831,claude-v1,oasst-pythia-12b,l
6832,oasst-pythia-12b,claude-v1,l
6833,RWKV-4-Raven-14B,vicuna-13b,l
6834,chatglm-6b,dolly-v2-12b,l
6835,gpt-4,oasst-pythia-12b,l
6836,llama-13b,alpaca-13b,l
6837,gpt-3.5-turbo,fastchat-t5-3b,l
6838,gpt-4,RWKV-4-Raven-14B,l
6839,llama-13b,stablelm-tuned-alpha-7b,l
6840,vicuna-13b,oasst-pythia-12b,l
6841,claude-v1,alpaca-13b,l
6842,fastchat-t5-3b,vicuna-13b,l
6843,gpt-3.5-turbo,fastchat-t5-3b,l
6844,dolly-v2-12b,fastchat-t5-3b,l
6845,gpt-3.5-turbo,claude-v1,l
6846,dolly-v2-12b,vicuna-13b,l
6847,RWKV-4-Raven-14B,gpt-3.5-turbo,l
6848,stablelm-tuned-alpha-7b,alpaca-13b,l
6849,koala-13b,dolly-v2-12b,l
6850,claude-v1,gpt-3.5-turbo,l
6851,koala-13b,gpt-3.5-turbo,l
6852,alpaca-13b,koala-13b,l
6853,alpaca-13b,fastchat-t5-3b,l
6854,koala-13b,RWKV-4-Raven-14B,l
6855,chatglm-6b,dolly-v2-12b,l
6856,stablelm-tuned-alpha-7b,oasst-pythia-12b,l
6857,claude-v1,oasst-pythia-12b,l
6858,chatglm-6b,gpt-4,l
6859,llama-13b,gpt-3.5-turbo,l
6860,vicuna-13b,oasst-pythia-12b,l
6861,llama-13b,claude-v1,l
6862,gpt-4,claude-v1,l
6863,fastchat-t5-3b,gpt-3.5-turbo,l
6864,dolly-v2-12b,gpt-4,l
6865,chatglm-6b,koala-13b,l
6866,koala-13b,stablelm-tuned-alpha-7b,l
6867,vicuna-13b,llama-13b,l
6868,stablelm-tuned-alpha-7b,koala-13b,l
6869,vicuna-13b,stablelm-tuned-alpha-7b,l
6870,RWKV-4-Raven-14B,alpaca-13b,l
6871,claude-v1,llama-13b,l
6872,oasst-pythia-12b,dolly-v2-12b,l
6873,koala-13b,fastchat-t5-3b,l
6874,oasst-pythia-12b,gpt-4,l
6875,dolly-v2-12b,llama-13b,l
6876,oasst-pythia-12b,RWKV-4-Raven-14B,l
6877,vicuna-13b,chatglm-6b,l
6878,fastchat-t5-3b,dolly-v2-12b,l
6879,alpaca-13b,oasst-pythia-12b,l
6880,gpt-3.5-turbo,llama-13b,l
6881,gpt-3.5-turbo,fastchat-t5-3b,l
6882,claude-v1,alpaca-13b,l
6883,gpt-3.5-turbo,RWKV-4-Raven-14B,l
6884,oasst-pythia-12b,chatglm-6b,l
6885,stablelm-tuned-alpha-7b,RWKV-4-Raven-14B,l
6886,dolly-v2-12b,gpt-3.5-turbo,l
6887,RWKV-4-Raven-14B,koala-13b,l
6888,claude-v1,gpt-4,l
6889,fastchat-t5-3b,claude-v1,l
6890,dolly-v2-12b,llama-13b,l
6891,dolly-v2-12b,chatglm-6b,l
6892,gpt-4,koala-13b,l
6893,RWKV-4-Raven-14B,fastchat-t5-3b,l
6894,koala-13b,chatglm-6b,l
6895,alpaca-13b,oasst-pythia-12b,l
6896,fastchat-t5-3b,oasst-pythia-12b,l
6897,claude-v1,llama-13b,l
6898,oasst-pythia-12b,gpt-4,l
6899,koala-13b,vicuna-13b,l
6900,gpt-3.5-turbo,alpaca-13b,l
6901,koala-13b,RWKV-4-Raven-14B,l
6902,oasst-pythia-12b,vicuna-13b,l
6903,oasst-pythia-12b,gpt-4,l
6904,fastchat-t5-3b,stablelm-tuned-alpha-7b,l
6905,alpaca-13b,koala-13b,l
6906,RWKV-4-Raven-14B,claude-v1,l
6907,koala-13b,gpt-4,l
6908,oasst-pythia-12b,vicuna-13b,l
6909,stablelm-tuned-alpha-7b,vicuna-13b,l
6910,gpt-4,koala-13b,l
6911,claude-v1,RWKV-4-Raven-14B,l
6912,llama-13b,dolly-v2-12b,l
6913,RWKV-4-Raven-14B,chatglm-6b,l
6914,chatglm-6b,vicuna-13b,l
6915,llama-13b,vicuna-13b,l
6916,llama-13b,stablelm-tuned-alpha-7b,l
6917,gpt-3.5-turbo,RWKV-4-Raven-14B,l
6918,llama-13b,claude-v1,l
6919,dolly-v2-12b,fastchat-t5-3b,l
6920,dolly-v2-12b,alpaca-13b,l
6921,koala-13b,oasst-pythia-12b,l
6922,dolly-v2-12b,claude-v1,l
6923,chatglm-6b,claude-v1,l
6924,claude-v1,stablelm-tuned-alpha-7b,l
6925,koala-13b,RWKV-4-Raven-14B,l
6926,fastchat-t5-3b,llama-13b,l
6927,vicuna-13b,RWKV-4-Raven-14B,l
6928,chatglm-6b,gpt-3.5-turbo,l
6929,claude-v1,gpt-4,l
6930,vicuna-13b,RWKV-4-Raven-14B,l
6931,RWKV-4-Raven-14B,stablelm-tuned-alpha-7b,l
6932,gpt-4,stablelm-tuned-alpha-7b,l
6933,gpt-3.5-turbo,llama-13b,l
6934,oasst-pythia-12b,gpt-3.5-turbo,l
6935,RWKV-4-Raven-14B,oasst-pythia-12b,l
6936,claude-v1,alpaca-13b,l
6937,oasst-pythia-12b,stablelm-tuned-alpha-7b,l
6938,gpt-3.5-turbo,RWKV-4-Raven-14B,l
6939,alpaca-13b,oasst-pythia-12b,l
6940,RWKV-4-Raven-14B,stablelm-tuned-alpha-7b,l
6941,koala-13b,dolly-v2-12b,l
6942,claude-v1,gpt-3.5-turbo,l
6943,chatglm-6b,stablelm-tuned-alpha-7b,l
6944,oasst-pythia-12b,RWKV-4-Raven-14B,l
6945,oasst-pythia-12b,gpt-3.5-turbo,l
6946,oasst-pythia-12b,chatglm-6b,l
6947,gpt-4,alpaca-13b,l
6948,claude-v1,alpaca-13b,l
6949,stablelm-tuned-alpha-7b,chatglm-6b,l
6950,stablelm-tuned-alpha-7b,oasst-pythia-12b,l
6951,oasst-pythia-12b,llama-13b,l
6952,alpaca-13b,gpt-4,l
6953,gpt-4,koala-13b,l
6954,claude-v1,vicuna-13b,l
6955,RWKV-4-Raven-14B,claude-v1,l
6956,vicuna-13b,stablelm-tuned-alpha-7b,l
6957,fastchat-t5-3b,chatglm-6b,l
6958,fastchat-t5-3b,oasst-pythia-12b,l
6959,gpt-4,RWKV-4-Raven-14B,l
6960,chatglm-6b,stablelm-tuned-alpha-7b,l
6961,dolly-v2-12b,RWKV-4-Raven-14B,l
6962,llama-13b,fastchat-t5-3b,l
6963,koala-13b,gpt-3.5-turbo,l
6964,koala-13b,vicuna-13b,l
