Number,model_a,model_b,result
3003,chatglm-6b,fastchat-t5-3b,w
3004,stablelm-tuned-alpha-7b,oasst-pythia-12b,w
3005,alpaca-13b,chatglm-6b,l
3006,dolly-v2-12b,koala-13b,l
3007,chatglm-6b,fastchat-t5-3b,l
3008,vicuna-13b,chatglm-6b,w
3009,fastchat-t5-3b,oasst-pythia-12b,w
3010,vicuna-13b,chatglm-6b,w
3013,koala-13b,oasst-pythia-12b,w
3014,dolly-v2-12b,koala-13b,w
3015,llama-13b,vicuna-13b,l
3016,vicuna-13b,alpaca-13b,l
3017,fastchat-t5-3b,koala-13b,l
3018,stablelm-tuned-alpha-7b,dolly-v2-12b,l
3019,alpaca-13b,dolly-v2-12b,w
3020,oasst-pythia-12b,stablelm-tuned-alpha-7b,w
3022,vicuna-13b,alpaca-13b,w
3023,fastchat-t5-3b,koala-13b,l
3024,koala-13b,stablelm-tuned-alpha-7b,w
3025,chatglm-6b,koala-13b,l
3026,chatglm-6b,oasst-pythia-12b,w
3029,alpaca-13b,dolly-v2-12b,l
3030,dolly-v2-12b,koala-13b,l
3031,oasst-pythia-12b,chatglm-6b,w
3032,llama-13b,chatglm-6b,w
3033,fastchat-t5-3b,llama-13b,w
3034,fastchat-t5-3b,vicuna-13b,w
3035,oasst-pythia-12b,koala-13b,w
3036,fastchat-t5-3b,dolly-v2-12b,w
3037,chatglm-6b,fastchat-t5-3b,l
3038,dolly-v2-12b,vicuna-13b,l
3039,stablelm-tuned-alpha-7b,oasst-pythia-12b,l
3040,stablelm-tuned-alpha-7b,alpaca-13b,l
3041,koala-13b,chatglm-6b,w
3043,dolly-v2-12b,oasst-pythia-12b,l
3044,fastchat-t5-3b,oasst-pythia-12b,l
3047,dolly-v2-12b,llama-13b,l
3048,oasst-pythia-12b,koala-13b,w
3051,oasst-pythia-12b,koala-13b,l
3052,llama-13b,stablelm-tuned-alpha-7b,w
3053,koala-13b,oasst-pythia-12b,w
3055,alpaca-13b,stablelm-tuned-alpha-7b,l
3057,chatglm-6b,vicuna-13b,l
3058,alpaca-13b,koala-13b,l
3062,llama-13b,dolly-v2-12b,l
3063,dolly-v2-12b,chatglm-6b,l
3065,oasst-pythia-12b,dolly-v2-12b,l
3068,dolly-v2-12b,stablelm-tuned-alpha-7b,l
3069,chatglm-6b,alpaca-13b,l
3073,chatglm-6b,llama-13b,w
3074,llama-13b,dolly-v2-12b,l
3077,stablelm-tuned-alpha-7b,llama-13b,w
3079,llama-13b,vicuna-13b,l
3080,stablelm-tuned-alpha-7b,vicuna-13b,w
3081,stablelm-tuned-alpha-7b,vicuna-13b,l
3082,alpaca-13b,chatglm-6b,w
3083,koala-13b,alpaca-13b,w
3084,vicuna-13b,alpaca-13b,w
3085,oasst-pythia-12b,fastchat-t5-3b,w
3087,koala-13b,oasst-pythia-12b,w
3088,alpaca-13b,llama-13b,l
3089,alpaca-13b,stablelm-tuned-alpha-7b,l
3090,fastchat-t5-3b,dolly-v2-12b,l
3091,llama-13b,oasst-pythia-12b,l
3092,fastchat-t5-3b,alpaca-13b,l
3093,llama-13b,alpaca-13b,l
3095,chatglm-6b,llama-13b,l
3096,alpaca-13b,stablelm-tuned-alpha-7b,w
3098,koala-13b,chatglm-6b,l
3099,llama-13b,vicuna-13b,l
3100,fastchat-t5-3b,llama-13b,w
3101,koala-13b,dolly-v2-12b,w
3103,fastchat-t5-3b,dolly-v2-12b,w
3104,llama-13b,vicuna-13b,l
3105,fastchat-t5-3b,vicuna-13b,l
3106,llama-13b,dolly-v2-12b,w
3107,llama-13b,chatglm-6b,l
3109,stablelm-tuned-alpha-7b,oasst-pythia-12b,w
3110,dolly-v2-12b,vicuna-13b,l
3111,oasst-pythia-12b,alpaca-13b,w
3112,fastchat-t5-3b,stablelm-tuned-alpha-7b,l
3115,stablelm-tuned-alpha-7b,chatglm-6b,l
3116,oasst-pythia-12b,fastchat-t5-3b,w
3118,koala-13b,fastchat-t5-3b,w
3120,vicuna-13b,dolly-v2-12b,w
3121,stablelm-tuned-alpha-7b,koala-13b,l
3122,stablelm-tuned-alpha-7b,koala-13b,l
3123,vicuna-13b,alpaca-13b,l
3125,oasst-pythia-12b,vicuna-13b,l
3126,oasst-pythia-12b,chatglm-6b,w
3127,vicuna-13b,alpaca-13b,w
3130,vicuna-13b,koala-13b,w
3131,dolly-v2-12b,llama-13b,w
3132,koala-13b,oasst-pythia-12b,w
3133,llama-13b,chatglm-6b,w
3135,fastchat-t5-3b,koala-13b,l
3136,llama-13b,fastchat-t5-3b,w
3137,dolly-v2-12b,llama-13b,w
3139,alpaca-13b,fastchat-t5-3b,l
3140,vicuna-13b,stablelm-tuned-alpha-7b,w
3141,dolly-v2-12b,llama-13b,w
3142,fastchat-t5-3b,stablelm-tuned-alpha-7b,l
3144,dolly-v2-12b,llama-13b,l
3146,stablelm-tuned-alpha-7b,oasst-pythia-12b,l
3147,alpaca-13b,koala-13b,l
3148,llama-13b,alpaca-13b,l
3149,dolly-v2-12b,oasst-pythia-12b,l
3151,llama-13b,fastchat-t5-3b,w
3153,alpaca-13b,koala-13b,l
3154,fastchat-t5-3b,stablelm-tuned-alpha-7b,w
3155,stablelm-tuned-alpha-7b,dolly-v2-12b,w
3156,alpaca-13b,chatglm-6b,w
3157,vicuna-13b,oasst-pythia-12b,w
3158,alpaca-13b,dolly-v2-12b,w
3159,llama-13b,vicuna-13b,l
3160,llama-13b,oasst-pythia-12b,l
3161,alpaca-13b,stablelm-tuned-alpha-7b,w
3162,llama-13b,chatglm-6b,w
3163,dolly-v2-12b,fastchat-t5-3b,l
3164,koala-13b,vicuna-13b,l
3167,fastchat-t5-3b,llama-13b,w
3169,dolly-v2-12b,chatglm-6b,l
3170,alpaca-13b,oasst-pythia-12b,w
3171,alpaca-13b,chatglm-6b,w
3172,llama-13b,stablelm-tuned-alpha-7b,w
3173,vicuna-13b,chatglm-6b,w
3174,oasst-pythia-12b,koala-13b,l
3177,fastchat-t5-3b,dolly-v2-12b,l
3179,llama-13b,fastchat-t5-3b,l
3180,stablelm-tuned-alpha-7b,fastchat-t5-3b,w
3181,vicuna-13b,chatglm-6b,w
3182,koala-13b,dolly-v2-12b,w
3184,llama-13b,oasst-pythia-12b,l
3186,chatglm-6b,dolly-v2-12b,w
3187,dolly-v2-12b,koala-13b,l
3188,fastchat-t5-3b,oasst-pythia-12b,l
3189,alpaca-13b,vicuna-13b,l
3190,alpaca-13b,stablelm-tuned-alpha-7b,w
3191,alpaca-13b,vicuna-13b,l
3193,alpaca-13b,dolly-v2-12b,w
3195,stablelm-tuned-alpha-7b,llama-13b,l
3197,dolly-v2-12b,alpaca-13b,l
3198,stablelm-tuned-alpha-7b,llama-13b,w
3200,koala-13b,vicuna-13b,l
3203,dolly-v2-12b,alpaca-13b,w
3204,oasst-pythia-12b,llama-13b,w
3206,llama-13b,vicuna-13b,w
3207,llama-13b,alpaca-13b,l
3211,dolly-v2-12b,alpaca-13b,l
3213,fastchat-t5-3b,koala-13b,l
3214,koala-13b,stablelm-tuned-alpha-7b,w
3215,alpaca-13b,stablelm-tuned-alpha-7b,l
3216,dolly-v2-12b,fastchat-t5-3b,l
3217,alpaca-13b,vicuna-13b,l
3218,oasst-pythia-12b,stablelm-tuned-alpha-7b,l
3219,alpaca-13b,dolly-v2-12b,l
3220,oasst-pythia-12b,stablelm-tuned-alpha-7b,w
3221,oasst-pythia-12b,stablelm-tuned-alpha-7b,w
3223,koala-13b,vicuna-13b,l
3224,dolly-v2-12b,llama-13b,w
3225,llama-13b,chatglm-6b,w
3229,llama-13b,alpaca-13b,w
3230,alpaca-13b,stablelm-tuned-alpha-7b,w
3231,vicuna-13b,koala-13b,w
3232,koala-13b,llama-13b,w
3233,dolly-v2-12b,koala-13b,l
3236,fastchat-t5-3b,stablelm-tuned-alpha-7b,l
3237,stablelm-tuned-alpha-7b,vicuna-13b,l
3238,alpaca-13b,fastchat-t5-3b,w
3239,stablelm-tuned-alpha-7b,dolly-v2-12b,l
3241,llama-13b,dolly-v2-12b,l
3242,alpaca-13b,chatglm-6b,l
3244,stablelm-tuned-alpha-7b,llama-13b,w
3246,chatglm-6b,koala-13b,w
3247,chatglm-6b,oasst-pythia-12b,w
3248,vicuna-13b,fastchat-t5-3b,w
3250,fastchat-t5-3b,vicuna-13b,l
3251,llama-13b,oasst-pythia-12b,l
3252,alpaca-13b,dolly-v2-12b,w
3253,llama-13b,chatglm-6b,w
3255,fastchat-t5-3b,alpaca-13b,l
3257,oasst-pythia-12b,stablelm-tuned-alpha-7b,l
3259,oasst-pythia-12b,koala-13b,l
3261,chatglm-6b,vicuna-13b,l
3263,oasst-pythia-12b,chatglm-6b,l
3264,alpaca-13b,koala-13b,l
3265,fastchat-t5-3b,dolly-v2-12b,l
3267,fastchat-t5-3b,stablelm-tuned-alpha-7b,w
3268,chatglm-6b,vicuna-13b,l
3270,chatglm-6b,vicuna-13b,l
3271,llama-13b,fastchat-t5-3b,l
3272,alpaca-13b,fastchat-t5-3b,w
3273,alpaca-13b,fastchat-t5-3b,w
3274,vicuna-13b,fastchat-t5-3b,w
3276,stablelm-tuned-alpha-7b,koala-13b,l
3277,oasst-pythia-12b,vicuna-13b,l
3280,fastchat-t5-3b,oasst-pythia-12b,w
3281,llama-13b,fastchat-t5-3b,w
3282,koala-13b,stablelm-tuned-alpha-7b,w
3283,vicuna-13b,stablelm-tuned-alpha-7b,w
3284,stablelm-tuned-alpha-7b,llama-13b,w
3285,stablelm-tuned-alpha-7b,dolly-v2-12b,l
3287,fastchat-t5-3b,llama-13b,w
3288,llama-13b,fastchat-t5-3b,w
3289,vicuna-13b,koala-13b,l
3290,vicuna-13b,oasst-pythia-12b,l
3291,oasst-pythia-12b,vicuna-13b,l
3292,fastchat-t5-3b,stablelm-tuned-alpha-7b,w
3294,stablelm-tuned-alpha-7b,fastchat-t5-3b,w
3295,vicuna-13b,llama-13b,w
3297,vicuna-13b,dolly-v2-12b,w
3300,koala-13b,chatglm-6b,w
3301,fastchat-t5-3b,stablelm-tuned-alpha-7b,w
3302,oasst-pythia-12b,vicuna-13b,w
3303,koala-13b,stablelm-tuned-alpha-7b,l
3305,stablelm-tuned-alpha-7b,fastchat-t5-3b,l
3306,vicuna-13b,oasst-pythia-12b,w
3308,llama-13b,fastchat-t5-3b,w
3309,oasst-pythia-12b,chatglm-6b,w
3310,llama-13b,alpaca-13b,w
3311,koala-13b,alpaca-13b,w
3312,chatglm-6b,fastchat-t5-3b,l
3313,alpaca-13b,stablelm-tuned-alpha-7b,w
3314,vicuna-13b,fastchat-t5-3b,w
3315,llama-13b,stablelm-tuned-alpha-7b,w
3316,stablelm-tuned-alpha-7b,chatglm-6b,w
3317,alpaca-13b,llama-13b,w
3318,oasst-pythia-12b,alpaca-13b,w
3319,stablelm-tuned-alpha-7b,alpaca-13b,l
3320,stablelm-tuned-alpha-7b,oasst-pythia-12b,l
3321,alpaca-13b,chatglm-6b,w
3323,alpaca-13b,oasst-pythia-12b,l
3324,vicuna-13b,chatglm-6b,l
3325,fastchat-t5-3b,stablelm-tuned-alpha-7b,w
3326,vicuna-13b,stablelm-tuned-alpha-7b,l
3328,dolly-v2-12b,fastchat-t5-3b,l
3330,alpaca-13b,koala-13b,l
3331,chatglm-6b,llama-13b,w
3332,fastchat-t5-3b,oasst-pythia-12b,w
3333,chatglm-6b,koala-13b,l
3334,vicuna-13b,oasst-pythia-12b,l
3335,koala-13b,fastchat-t5-3b,w
3336,oasst-pythia-12b,fastchat-t5-3b,w
3339,stablelm-tuned-alpha-7b,vicuna-13b,l
3340,alpaca-13b,koala-13b,l
3342,llama-13b,fastchat-t5-3b,w
3343,chatglm-6b,fastchat-t5-3b,w
3345,llama-13b,alpaca-13b,l
3347,vicuna-13b,chatglm-6b,w
3348,vicuna-13b,dolly-v2-12b,w
3349,vicuna-13b,alpaca-13b,w
3350,stablelm-tuned-alpha-7b,koala-13b,l
3351,stablelm-tuned-alpha-7b,koala-13b,w
3355,vicuna-13b,chatglm-6b,w
3356,dolly-v2-12b,chatglm-6b,l
3357,vicuna-13b,fastchat-t5-3b,w
3360,stablelm-tuned-alpha-7b,alpaca-13b,l
3361,koala-13b,llama-13b,w
3362,chatglm-6b,stablelm-tuned-alpha-7b,w
3364,llama-13b,koala-13b,w
3366,chatglm-6b,llama-13b,w
3369,alpaca-13b,fastchat-t5-3b,w
3370,oasst-pythia-12b,llama-13b,w
3371,fastchat-t5-3b,alpaca-13b,l
3372,dolly-v2-12b,chatglm-6b,w
3374,alpaca-13b,oasst-pythia-12b,l
3376,dolly-v2-12b,chatglm-6b,l
3377,stablelm-tuned-alpha-7b,vicuna-13b,l
3378,stablelm-tuned-alpha-7b,fastchat-t5-3b,l
3380,fastchat-t5-3b,alpaca-13b,w
3382,oasst-pythia-12b,alpaca-13b,l
3383,dolly-v2-12b,alpaca-13b,l
3384,dolly-v2-12b,vicuna-13b,w
3385,oasst-pythia-12b,vicuna-13b,w
3386,alpaca-13b,vicuna-13b,l
3388,koala-13b,vicuna-13b,w
3389,alpaca-13b,vicuna-13b,l
3391,alpaca-13b,dolly-v2-12b,l
3392,alpaca-13b,dolly-v2-12b,w
3393,chatglm-6b,fastchat-t5-3b,l
3394,stablelm-tuned-alpha-7b,koala-13b,l
3396,dolly-v2-12b,llama-13b,w
3397,koala-13b,alpaca-13b,w
3398,oasst-pythia-12b,dolly-v2-12b,l
3399,vicuna-13b,fastchat-t5-3b,w
3400,koala-13b,dolly-v2-12b,w
3401,dolly-v2-12b,alpaca-13b,l
3402,vicuna-13b,fastchat-t5-3b,l
3403,stablelm-tuned-alpha-7b,alpaca-13b,w
3404,chatglm-6b,dolly-v2-12b,w
3407,alpaca-13b,dolly-v2-12b,l
3409,chatglm-6b,koala-13b,w
3410,llama-13b,dolly-v2-12b,w
3411,chatglm-6b,oasst-pythia-12b,w
3412,stablelm-tuned-alpha-7b,alpaca-13b,l
3413,stablelm-tuned-alpha-7b,vicuna-13b,l
3415,dolly-v2-12b,chatglm-6b,l
3416,llama-13b,fastchat-t5-3b,w
3417,alpaca-13b,vicuna-13b,w
3419,fastchat-t5-3b,stablelm-tuned-alpha-7b,l
3423,stablelm-tuned-alpha-7b,oasst-pythia-12b,l
3425,vicuna-13b,alpaca-13b,l
3426,vicuna-13b,dolly-v2-12b,w
3427,llama-13b,alpaca-13b,l
3428,alpaca-13b,vicuna-13b,l
3429,fastchat-t5-3b,stablelm-tuned-alpha-7b,l
3430,dolly-v2-12b,alpaca-13b,l
3431,dolly-v2-12b,oasst-pythia-12b,w
3433,fastchat-t5-3b,chatglm-6b,w
3435,dolly-v2-12b,vicuna-13b,l
3436,alpaca-13b,llama-13b,w
3437,llama-13b,chatglm-6b,l
3438,stablelm-tuned-alpha-7b,dolly-v2-12b,w
3439,llama-13b,vicuna-13b,l
3440,dolly-v2-12b,oasst-pythia-12b,l
3441,koala-13b,stablelm-tuned-alpha-7b,l
3443,chatglm-6b,alpaca-13b,l
3444,oasst-pythia-12b,alpaca-13b,w
3445,vicuna-13b,oasst-pythia-12b,w
3446,dolly-v2-12b,oasst-pythia-12b,l
3448,koala-13b,oasst-pythia-12b,w
3449,alpaca-13b,vicuna-13b,l
3451,oasst-pythia-12b,llama-13b,w
3452,chatglm-6b,alpaca-13b,w
3454,chatglm-6b,vicuna-13b,l
3455,fastchat-t5-3b,koala-13b,l
3457,koala-13b,dolly-v2-12b,w
3461,oasst-pythia-12b,vicuna-13b,l
3463,oasst-pythia-12b,fastchat-t5-3b,w
3464,oasst-pythia-12b,alpaca-13b,w
3465,dolly-v2-12b,alpaca-13b,l
3466,dolly-v2-12b,oasst-pythia-12b,l
3467,koala-13b,chatglm-6b,w
3468,fastchat-t5-3b,vicuna-13b,l
3470,dolly-v2-12b,chatglm-6b,l
3471,oasst-pythia-12b,dolly-v2-12b,w
3472,dolly-v2-12b,oasst-pythia-12b,l
3473,alpaca-13b,llama-13b,w
3474,dolly-v2-12b,vicuna-13b,l
3476,dolly-v2-12b,vicuna-13b,l
3478,stablelm-tuned-alpha-7b,chatglm-6b,w
3480,vicuna-13b,oasst-pythia-12b,w
3481,alpaca-13b,dolly-v2-12b,w
3482,llama-13b,koala-13b,l
3483,dolly-v2-12b,vicuna-13b,l
3484,stablelm-tuned-alpha-7b,dolly-v2-12b,w
3485,vicuna-13b,oasst-pythia-12b,w
3486,llama-13b,chatglm-6b,l
3487,llama-13b,koala-13b,l
3488,stablelm-tuned-alpha-7b,vicuna-13b,l
3490,koala-13b,dolly-v2-12b,l
3491,oasst-pythia-12b,alpaca-13b,w
3492,dolly-v2-12b,stablelm-tuned-alpha-7b,l
3494,oasst-pythia-12b,llama-13b,l
3495,fastchat-t5-3b,chatglm-6b,l
3496,chatglm-6b,fastchat-t5-3b,l
3497,dolly-v2-12b,alpaca-13b,w
3498,llama-13b,chatglm-6b,w
3499,chatglm-6b,vicuna-13b,l
3500,fastchat-t5-3b,llama-13b,l
3503,alpaca-13b,llama-13b,w
3508,vicuna-13b,llama-13b,w
3510,alpaca-13b,dolly-v2-12b,w
3511,alpaca-13b,llama-13b,w
3513,llama-13b,stablelm-tuned-alpha-7b,w
3515,oasst-pythia-12b,vicuna-13b,l
3516,stablelm-tuned-alpha-7b,alpaca-13b,w
3517,fastchat-t5-3b,koala-13b,l
3518,vicuna-13b,stablelm-tuned-alpha-7b,w
3521,chatglm-6b,koala-13b,l
3523,vicuna-13b,dolly-v2-12b,w
3524,chatglm-6b,llama-13b,w
3525,stablelm-tuned-alpha-7b,koala-13b,w
3526,alpaca-13b,llama-13b,l
3527,vicuna-13b,fastchat-t5-3b,w
3529,dolly-v2-12b,vicuna-13b,l
3532,oasst-pythia-12b,dolly-v2-12b,l
3534,oasst-pythia-12b,chatglm-6b,l
3536,dolly-v2-12b,llama-13b,w
3537,koala-13b,fastchat-t5-3b,w
3538,oasst-pythia-12b,dolly-v2-12b,l
3539,fastchat-t5-3b,koala-13b,l
3542,llama-13b,stablelm-tuned-alpha-7b,w
3543,vicuna-13b,stablelm-tuned-alpha-7b,l
3544,fastchat-t5-3b,stablelm-tuned-alpha-7b,l
3545,koala-13b,oasst-pythia-12b,l
3546,koala-13b,alpaca-13b,w
3547,oasst-pythia-12b,koala-13b,l
3548,oasst-pythia-12b,koala-13b,w
3549,fastchat-t5-3b,koala-13b,w
3550,llama-13b,oasst-pythia-12b,l
3551,oasst-pythia-12b,llama-13b,w
3552,chatglm-6b,llama-13b,w
3553,alpaca-13b,koala-13b,l
3555,stablelm-tuned-alpha-7b,llama-13b,l
3557,chatglm-6b,llama-13b,l
3558,fastchat-t5-3b,alpaca-13b,l
3559,dolly-v2-12b,stablelm-tuned-alpha-7b,l
3561,koala-13b,vicuna-13b,l
3562,oasst-pythia-12b,chatglm-6b,l
3569,fastchat-t5-3b,llama-13b,w
3570,alpaca-13b,oasst-pythia-12b,w
3571,oasst-pythia-12b,fastchat-t5-3b,w
3572,stablelm-tuned-alpha-7b,llama-13b,w
3573,vicuna-13b,llama-13b,w
3574,koala-13b,dolly-v2-12b,w
3575,alpaca-13b,fastchat-t5-3b,w
3576,vicuna-13b,chatglm-6b,l
3580,oasst-pythia-12b,chatglm-6b,w
3581,dolly-v2-12b,chatglm-6b,l
3582,dolly-v2-12b,oasst-pythia-12b,l
3583,chatglm-6b,stablelm-tuned-alpha-7b,w
3584,alpaca-13b,vicuna-13b,l
3585,fastchat-t5-3b,vicuna-13b,l
3586,fastchat-t5-3b,oasst-pythia-12b,w
3587,oasst-pythia-12b,stablelm-tuned-alpha-7b,w
3588,vicuna-13b,alpaca-13b,l
3589,vicuna-13b,oasst-pythia-12b,l
3590,llama-13b,chatglm-6b,w
3591,chatglm-6b,llama-13b,w
3595,oasst-pythia-12b,alpaca-13b,w
3596,alpaca-13b,llama-13b,w
3597,fastchat-t5-3b,alpaca-13b,w
3599,alpaca-13b,vicuna-13b,l
3600,fastchat-t5-3b,vicuna-13b,l
3601,koala-13b,oasst-pythia-12b,w
3602,koala-13b,vicuna-13b,l
3603,fastchat-t5-3b,dolly-v2-12b,w
3605,stablelm-tuned-alpha-7b,chatglm-6b,w
3606,koala-13b,dolly-v2-12b,w
3607,oasst-pythia-12b,chatglm-6b,w
3608,alpaca-13b,stablelm-tuned-alpha-7b,w
3610,oasst-pythia-12b,koala-13b,w
3611,oasst-pythia-12b,vicuna-13b,w
3613,vicuna-13b,chatglm-6b,w
3615,oasst-pythia-12b,stablelm-tuned-alpha-7b,l
3616,dolly-v2-12b,oasst-pythia-12b,l
3617,koala-13b,oasst-pythia-12b,l
3618,oasst-pythia-12b,vicuna-13b,w
3621,vicuna-13b,llama-13b,w
3622,alpaca-13b,dolly-v2-12b,w
3623,koala-13b,llama-13b,w
3625,koala-13b,vicuna-13b,l
3626,vicuna-13b,llama-13b,w
3628,oasst-pythia-12b,chatglm-6b,l
3629,dolly-v2-12b,fastchat-t5-3b,l
3630,fastchat-t5-3b,llama-13b,w
3631,vicuna-13b,koala-13b,l
3634,vicuna-13b,dolly-v2-12b,w
3635,stablelm-tuned-alpha-7b,dolly-v2-12b,w
3637,stablelm-tuned-alpha-7b,oasst-pythia-12b,l
3638,koala-13b,fastchat-t5-3b,w
3640,koala-13b,alpaca-13b,l
3641,alpaca-13b,vicuna-13b,l
3642,koala-13b,oasst-pythia-12b,w
3646,vicuna-13b,alpaca-13b,w
3652,vicuna-13b,stablelm-tuned-alpha-7b,w
3653,dolly-v2-12b,vicuna-13b,l
3654,llama-13b,fastchat-t5-3b,l
3655,oasst-pythia-12b,dolly-v2-12b,w
3656,vicuna-13b,alpaca-13b,l
3657,koala-13b,chatglm-6b,w
3660,stablelm-tuned-alpha-7b,vicuna-13b,l
3662,stablelm-tuned-alpha-7b,alpaca-13b,w
3663,llama-13b,koala-13b,l
3664,dolly-v2-12b,oasst-pythia-12b,l
3665,koala-13b,llama-13b,w
3668,fastchat-t5-3b,alpaca-13b,l
3670,dolly-v2-12b,oasst-pythia-12b,l
3671,chatglm-6b,koala-13b,w
3673,stablelm-tuned-alpha-7b,llama-13b,l
3674,vicuna-13b,chatglm-6b,w
3677,dolly-v2-12b,fastchat-t5-3b,l
3678,oasst-pythia-12b,alpaca-13b,l
3679,koala-13b,vicuna-13b,w
3680,vicuna-13b,dolly-v2-12b,w
3681,vicuna-13b,stablelm-tuned-alpha-7b,w
3683,oasst-pythia-12b,stablelm-tuned-alpha-7b,w
3688,koala-13b,dolly-v2-12b,w
3689,llama-13b,koala-13b,l
3692,koala-13b,dolly-v2-12b,w
3693,koala-13b,fastchat-t5-3b,w
3694,vicuna-13b,chatglm-6b,w
3696,llama-13b,koala-13b,l
3697,dolly-v2-12b,chatglm-6b,l
3698,oasst-pythia-12b,llama-13b,l
3700,koala-13b,chatglm-6b,w
3701,koala-13b,dolly-v2-12b,w
3702,dolly-v2-12b,oasst-pythia-12b,l
3703,koala-13b,alpaca-13b,l
3706,alpaca-13b,gpt-3.5-turbo,l
3708,alpaca-13b,gpt-3.5-turbo,l
3709,llama-13b,dolly-v2-12b,w
3710,vicuna-13b,llama-13b,w
3712,alpaca-13b,koala-13b,l
3714,llama-13b,dolly-v2-12b,w
3715,chatglm-6b,koala-13b,l
3716,fastchat-t5-3b,llama-13b,w
3717,llama-13b,oasst-pythia-12b,l
3718,chatglm-6b,alpaca-13b,w
3719,chatglm-6b,oasst-pythia-12b,l
3720,gpt-3.5-turbo,alpaca-13b,w
3721,dolly-v2-12b,oasst-pythia-12b,l
3722,gpt-3.5-turbo,alpaca-13b,w
3723,oasst-pythia-12b,stablelm-tuned-alpha-7b,l
3725,stablelm-tuned-alpha-7b,chatglm-6b,w
3726,stablelm-tuned-alpha-7b,koala-13b,w
3727,oasst-pythia-12b,fastchat-t5-3b,w
3729,koala-13b,fastchat-t5-3b,w
3732,chatglm-6b,oasst-pythia-12b,l
3735,gpt-3.5-turbo,llama-13b,w
3737,stablelm-tuned-alpha-7b,llama-13b,w
3738,vicuna-13b,koala-13b,w
3740,dolly-v2-12b,vicuna-13b,l
3741,gpt-3.5-turbo,alpaca-13b,l
3747,chatglm-6b,vicuna-13b,w
3748,alpaca-13b,vicuna-13b,w
3749,alpaca-13b,stablelm-tuned-alpha-7b,w
3750,fastchat-t5-3b,oasst-pythia-12b,w
3751,koala-13b,llama-13b,w
3752,gpt-3.5-turbo,fastchat-t5-3b,w
3753,gpt-3.5-turbo,koala-13b,w
3754,vicuna-13b,fastchat-t5-3b,w
3756,alpaca-13b,dolly-v2-12b,w
3757,vicuna-13b,gpt-3.5-turbo,l
3758,stablelm-tuned-alpha-7b,gpt-3.5-turbo,l
3760,vicuna-13b,chatglm-6b,w
3762,vicuna-13b,gpt-3.5-turbo,w
3763,gpt-3.5-turbo,chatglm-6b,w
3765,llama-13b,fastchat-t5-3b,l
3767,chatglm-6b,oasst-pythia-12b,l
3768,chatglm-6b,dolly-v2-12b,l
3769,dolly-v2-12b,alpaca-13b,l
3770,stablelm-tuned-alpha-7b,vicuna-13b,l
3774,dolly-v2-12b,oasst-pythia-12b,l
3775,dolly-v2-12b,fastchat-t5-3b,l
3777,alpaca-13b,dolly-v2-12b,w
3778,fastchat-t5-3b,koala-13b,l
3779,chatglm-6b,fastchat-t5-3b,l
3781,oasst-pythia-12b,stablelm-tuned-alpha-7b,w
3783,llama-13b,oasst-pythia-12b,w
3784,alpaca-13b,oasst-pythia-12b,w
3785,gpt-3.5-turbo,fastchat-t5-3b,w
3786,vicuna-13b,koala-13b,w
3787,chatglm-6b,vicuna-13b,l
3789,koala-13b,llama-13b,l
3790,chatglm-6b,oasst-pythia-12b,l
3793,fastchat-t5-3b,dolly-v2-12b,w
3794,llama-13b,alpaca-13b,l
3796,dolly-v2-12b,koala-13b,l
3797,fastchat-t5-3b,oasst-pythia-12b,l
3798,llama-13b,stablelm-tuned-alpha-7b,l
3800,alpaca-13b,gpt-3.5-turbo,w
3801,alpaca-13b,llama-13b,w
3803,gpt-3.5-turbo,chatglm-6b,w
3804,oasst-pythia-12b,dolly-v2-12b,l
3806,llama-13b,chatglm-6b,w
3807,koala-13b,alpaca-13b,w
3808,alpaca-13b,oasst-pythia-12b,l
3809,oasst-pythia-12b,koala-13b,l
3810,alpaca-13b,koala-13b,l
3812,oasst-pythia-12b,vicuna-13b,l
3814,koala-13b,stablelm-tuned-alpha-7b,w
3815,koala-13b,dolly-v2-12b,w
3816,oasst-pythia-12b,vicuna-13b,l
3820,chatglm-6b,oasst-pythia-12b,l
3823,dolly-v2-12b,fastchat-t5-3b,l
3825,alpaca-13b,stablelm-tuned-alpha-7b,w
3827,fastchat-t5-3b,alpaca-13b,l
3829,koala-13b,dolly-v2-12b,w
3831,vicuna-13b,alpaca-13b,w
3832,vicuna-13b,gpt-3.5-turbo,l
3834,alpaca-13b,dolly-v2-12b,w
3835,stablelm-tuned-alpha-7b,fastchat-t5-3b,l
3836,stablelm-tuned-alpha-7b,gpt-3.5-turbo,l
3838,dolly-v2-12b,oasst-pythia-12b,w
3839,dolly-v2-12b,fastchat-t5-3b,w
3840,alpaca-13b,dolly-v2-12b,w
3841,dolly-v2-12b,stablelm-tuned-alpha-7b,l
3843,oasst-pythia-12b,chatglm-6b,w
3845,dolly-v2-12b,koala-13b,l
3846,oasst-pythia-12b,llama-13b,w
3850,chatglm-6b,gpt-3.5-turbo,l
3851,fastchat-t5-3b,koala-13b,w
3852,gpt-3.5-turbo,dolly-v2-12b,w
3853,alpaca-13b,stablelm-tuned-alpha-7b,w
3854,alpaca-13b,vicuna-13b,l
3856,stablelm-tuned-alpha-7b,alpaca-13b,w
3857,fastchat-t5-3b,oasst-pythia-12b,l
3858,stablelm-tuned-alpha-7b,alpaca-13b,l
